iter	RMSE
0	6.6024539
1	6.442086698
2	6.290215776
3	6.141092652
4	5.997082243
5	5.86042324
6	5.728441121
7	5.599207291
8	5.474928738
9	5.358209025
10	5.244586949
11	5.135108152
12	5.028485199
13	4.925984134
14	4.827634537
15	4.732892762
16	4.642076683
17	4.554641446
18	4.470005237
19	4.388518539
20	4.312274792
21	4.23906168
22	4.167157878
23	4.097427867
24	4.031384169
25	3.967864931
26	3.907355891
27	3.848964956
28	3.793800711
29	3.740565946
30	3.689880062
31	3.642153077
32	3.595271104
33	3.551241135
34	3.508527651
35	3.468783446
36	3.42981446
37	3.393075491
38	3.358037257
39	3.324688693
40	3.292120706
41	3.262075546
42	3.233293293
43	3.205581257
44	3.179182169
45	3.154788892
46	3.130491225
47	3.107882006
48	3.086665152
49	3.066192094
50	3.04628582
51	3.027601746
52	3.010418652
53	2.993522248
54	2.977913983
55	2.962944171
56	2.949869854
57	2.935984553
58	2.923053755
59	2.911228578
60	2.899294043
61	2.888113787
62	2.878078847
63	2.868405866
64	2.858770292
65	2.849857439
66	2.841308526
67	2.833283363
68	2.82548416
69	2.818573736
70	2.812185332
71	2.805781954
72	2.799613999
73	2.793708898
74	2.78749985
75	2.782215804
76	2.777401463
77	2.772110283
78	2.766972931
79	2.762383232
80	2.758474051
81	2.75453836
82	2.749690964
83	2.746234982
84	2.742239534
85	2.73953816
86	2.73583768
87	2.732631835
88	2.729763785
89	2.72725877
90	2.725036177
91	2.722494179
92	2.719586435
93	2.717234732
94	2.714799165
95	2.712019869
96	2.710014616
97	2.708482488
98	2.706705489
99	2.704988347
100	2.702989386
101	2.70139303
102	2.699612306
103	2.698052552
104	2.696180725
105	2.695148666
106	2.693775998
107	2.692041825
108	2.690728504
109	2.689709003
110	2.688650301
111	2.687939212
112	2.686527564
113	2.685585169
114	2.68422031
115	2.683287694
116	2.682647232
117	2.681105071
118	2.680289288
119	2.679029794
120	2.678169287
121	2.676899069
122	2.675982727
123	2.674701015
124	2.673909114
125	2.672759387
126	2.671757061
127	2.671248073
128	2.670542435
129	2.669736891
130	2.668798761
131	2.6679824
132	2.667008951
133	2.666331178
134	2.665890564
135	2.664938462
136	2.664139864
137	2.663259922
138	2.6622878
139	2.661538149
140	2.66120685
141	2.660535305
142	2.659918739
143	2.659319859
144	2.658475063
145	2.65795682
146	2.657061386
147	2.656512293
148	2.655931978
149	2.655567256
